Volume,VIX_Close,Historical_Volatility,Alpha,Beta,date,Positive,Negative,Neutral,Financial_Sector_Close
22080200,13.68000030517578,14.021827415185614,0.0007331210097291,1.0750958921877032,2020-02-14,0,0,0,31.170000076293945
37768900,14.829999923706056,13.9011779229029,0.0011077362134494,1.0923956414327538,2020-02-18,1,0,0,30.89999961853028
25643300,14.380000114440918,14.055920189033897,0.0013251312820379,1.0932096796733783,2020-02-19,1,0,0,31.1299991607666
50344300,15.5600004196167,13.920540035533149,0.0009706315093004,1.076815171510934,2020-02-20,3,0,0,31.06999969482422
51128200,17.079999923706055,14.111791210568905,0.0006149872150579,1.058510248507758,2020-02-21,2,0,0,30.770000457763672
70455400,25.030000686645508,16.92745882876095,-0.0003998116469491,1.0086913087504592,2020-02-24,0,0,0,29.770000457763672
111826900,27.850000381469727,19.420583214414314,6.475668615429486e-05,1.0301530183833258,2020-02-25,4,0,0,28.76000022888184
95015700,27.559999465942383,19.284248749977053,2.158531410242568e-06,1.0317102449289133,2020-02-26,0,0,0,28.549999237060547
143536200,39.15999984741211,22.65217697300823,-0.000260330441607,1.010021359928845,2020-02-27,1,0,0,27.32999992370605
192063500,40.11000061035156,23.64751748334269,-0.0005299045148217,1.0234428621714822,2020-02-28,0,0,0,26.59000015258789
127115500,33.41999816894531,28.24630721362198,0.0005617281268905,1.056712486985396,2020-03-02,0,0,0,27.950000762939453
256525000,36.81999969482422,29.92254402666364,0.0011014341989041,1.078470550101891,2020-03-03,0,0,0,26.89999961853028
124408000,31.989999771118164,31.78534092883304,-0.0007957531298993,1.0273896912245568,2020-03-04,2,0,0,27.790000915527344
130265700,39.619998931884766,34.39442708387255,-0.0001711829313462,1.0612852910536523,2020-03-05,1,0,0,26.450000762939453
160606600,41.93999862670898,35.425370321429135,-0.0001414082234234,1.077897907765734,2020-03-06,2,0,0,25.549999237060547
134165700,54.459999084472656,47.12795607805161,0.0020863433459043,1.1811212405556153,2020-03-09,0,0,0,22.809999465942383
149282300,47.29999923706055,50.8782610591164,0.0022924922750108,1.1874982668965108,2020-03-10,1,0,0,24.14999961853028
146915400,53.900001525878906,52.44341899260007,0.002036283434735,1.174263375777573,2020-03-11,4,0,0,22.84000015258789
161437500,75.47000122070312,60.55930520012585,0.0010774133405533,1.1516442933440214,2020-03-12,3,0,0,20.3700008392334
160945700,57.83000183105469,72.1079604101229,0.0040947234870882,1.2223337308316538,2020-03-13,0,0,0,23.049999237060547
110661600,82.69000244140625,82.44045021643043,0.0036652374165759,1.1988483096430074,2020-03-16,0,0,0,19.88999938964844
122295100,75.91000366210938,84.48634886243318,0.0027753687181195,1.1816609107972438,2020-03-17,0,0,0,20.96999931335449
145056400,76.44999694824219,87.05552759041602,0.0021831289479917,1.1945019804495032,2020-03-18,0,0,0,19.190000534057617
105652800,72.0,87.12115606825957,0.0031253670155704,1.20015680147744,2020-03-19,0,0,0,19.61000061035156
157840900,66.04000091552734,87.22230334985986,0.0031978449805333,1.189533598045811,2020-03-20,0,0,0,18.90999984741211
144547900,61.59000015258789,88.02201296415501,0.0028872143104433,1.1972788851510718,2020-03-23,0,0,0,17.65999984741211
158551100,61.66999816894531,96.23584355158484,0.0039414710438235,1.2175344154570975,2020-03-24,1,0,0,19.850000381469727
162949600,63.95000076293945,96.8522115191835,0.0048466740336392,1.223379593749203,2020-03-25,2,0,0,20.38999938964844
129753900,61.0,99.1792677365929,0.0039200309448579,1.211011273600301,2020-03-26,0,0,0,21.670000076293945
109305600,65.54000091552734,99.2680378301443,0.0041729518198595,1.206957780495436,2020-03-27,0,0,0,21.01000022888184
67297200,57.08000183105469,99.61518026718184,0.0032635094012643,1.1961982932194295,2020-03-30,1,0,0,21.40999984741211
83819900,53.540000915527344,99.71187182018896,0.0029156623384616,1.1963332510643503,2020-03-31,2,0,0,20.81999969482422
79185000,57.060001373291016,100.54888059703862,0.0026272144582947,1.1987965689499938,2020-04-01,2,0,0,19.549999237060547
68398300,50.90999984741211,101.15111670417436,0.0024520253846198,1.198979506618629,2020-04-02,1,0,0,20.040000915527344
68418100,46.79999923706055,101.15491207321188,0.0022347215239369,1.2023475472876826,2020-04-03,0,0,0,19.63999938964844
69015100,45.2400016784668,103.8560001486997,0.0014962713805258,1.1950714736123336,2020-04-06,0,0,0,21.049999237060547
70950900,46.70000076293945,103.79041298744907,0.0020154700316041,1.1955194139916057,2020-04-07,1,0,0,21.26000022888184
80003400,43.34999847412109,104.905234219717,0.002019504854403,1.2048488165961873,2020-04-08,1,0,0,22.190000534057617
147845500,41.66999816894531,105.7600848557194,0.0040089803002875,1.2107246349533618,2020-04-09,1,0,0,23.3799991607666
66236300,41.16999816894531,105.97372032949556,0.0034511016193517,1.2149103929902214,2020-04-13,1,0,0,22.530000686645508
96169000,37.7599983215332,104.73072853196376,0.0021243252027925,1.20251662458524,2020-04-14,2,0,0,22.6299991607666
63482000,40.84000015258789,104.9013897565038,0.0024808501576116,1.2142925767023969,2020-04-15,0,0,0,21.64999961853028
68907600,40.11000061035156,104.26605183525064,0.0017762434375066,1.2105774689766065,2020-04-16,1,0,0,21.270000457763672
